val0,val1,val2,val3,val4,val5,val6,val7,val8,val9,Sample,Accuracy
0.2412109375,0.6904296875,0.5498046875,0.9580078125,0.1240234375,0.7509765625,0.4521484375,0.3056640625,0.5322265625,0.9130859375,600,0.675
0.5634765625,0.7236328125,0.5498046875,0.9580078125,0.1240234375,0.7509765625,0.4521484375,0.3056640625,0.5322265625,0.9130859375,600,0.675
0.5634765625,0.6904296875,0.9423828125,0.9580078125,0.1240234375,0.7509765625,0.4521484375,0.3056640625,0.5322265625,0.9130859375,600,0.6666666666666666
0.5634765625,0.6904296875,0.5498046875,0.7275390625,0.1240234375,0.7509765625,0.4521484375,0.3056640625,0.5322265625,0.9130859375,600,0.675
0.5634765625,0.6904296875,0.5498046875,0.9580078125,0.1748046875,0.7509765625,0.4521484375,0.3056640625,0.5322265625,0.9130859375,600,0.675
0.5634765625,0.6904296875,0.5498046875,0.9580078125,0.1240234375,0.1513671875,0.4521484375,0.3056640625,0.5322265625,0.9130859375,600,0.6833333333333333
0.5634765625,0.6904296875,0.5498046875,0.9580078125,0.1240234375,0.7509765625,0.1259765625,0.3056640625,0.5322265625,0.9130859375,600,0.675
0.5634765625,0.6904296875,0.5498046875,0.9580078125,0.1240234375,0.7509765625,0.4521484375,0.5634765625,0.5322265625,0.9130859375,600,0.675
0.5634765625,0.6904296875,0.5498046875,0.9580078125,0.1240234375,0.7509765625,0.4521484375,0.3056640625,0.2724609375,0.9130859375,600,0.675
0.5634765625,0.6904296875,0.5498046875,0.9580078125,0.1240234375,0.7509765625,0.4521484375,0.3056640625,0.5322265625,0.3818359375,600,0.675
0.2412109375,0.7236328125,0.9423828125,0.7275390625,0.1748046875,0.1513671875,0.1259765625,0.5634765625,0.2724609375,0.3818359375,600,0.675
0.8134765625,0.4404296875,0.2998046875,0.2080078125,0.3740234375,0.5009765625,0.7021484375,0.0556640625,0.7822265625,0.6630859375,600,0.675
0.4912109375,0.4404296875,0.2998046875,0.2080078125,0.3740234375,0.5009765625,0.7021484375,0.0556640625,0.7822265625,0.6630859375,600,0.675
0.8134765625,0.9736328125,0.2998046875,0.2080078125,0.3740234375,0.5009765625,0.7021484375,0.0556640625,0.7822265625,0.6630859375,600,0.675
0.8134765625,0.4404296875,0.1923828125,0.2080078125,0.3740234375,0.5009765625,0.7021484375,0.0556640625,0.7822265625,0.6630859375,600,0.675
0.8134765625,0.4404296875,0.2998046875,0.4775390625,0.3740234375,0.5009765625,0.7021484375,0.0556640625,0.7822265625,0.6630859375,600,0.675
0.8134765625,0.4404296875,0.2998046875,0.2080078125,0.4248046875,0.5009765625,0.7021484375,0.0556640625,0.7822265625,0.6630859375,600,0.675
0.8134765625,0.4404296875,0.2998046875,0.2080078125,0.3740234375,0.9013671875,0.7021484375,0.0556640625,0.7822265625,0.6630859375,600,0.6666666666666666
0.8134765625,0.4404296875,0.2998046875,0.2080078125,0.3740234375,0.5009765625,0.3759765625,0.0556640625,0.7822265625,0.6630859375,600,0.6833333333333333
0.8134765625,0.4404296875,0.2998046875,0.2080078125,0.3740234375,0.5009765625,0.7021484375,0.3134765625,0.7822265625,0.6630859375,600,0.675
0.8134765625,0.4404296875,0.2998046875,0.2080078125,0.3740234375,0.5009765625,0.7021484375,0.0556640625,0.0224609375,0.6630859375,600,0.675
0.8134765625,0.4404296875,0.2998046875,0.2080078125,0.3740234375,0.5009765625,0.7021484375,0.0556640625,0.7822265625,0.6318359375,600,0.675
